// -----------------------------------------------------------------------------
// HYPER-BYTE TOPOLOGY EXPORT
// -----------------------------------------------------------------------------
// Generated: 2025-12-20T12:39:31.824Z
// Geometry:  16x16 Matrix (0..255) mapped to 4 Attractor Basins.
// Hierarchy: ROOT(4) -> DOMAIN(12) -> SECTION(48) -> LEAF(192)
// Logic:     Parent = ((Child << 1) & 0xF0) | ((Child >>> 1) & 0x0F)
// -----------------------------------------------------------------------------
value,hex,bin,classes,symmetry,center,root,depth,inverse,reverse,opposite,ones,zeros,entropy,balance
28,0x1c,00011100,UNBALANCED|LEAF,UNBALANCED_OTHER,62,255,3,227,56,193,3,5,0.954434,0.375
29,0x1d,00011101,BALANCED|LEAF,BALANCED_EDGE,62,255,3,226,184,209,4,4,1,0.5
156,0x9c,10011100,BALANCED|LEAF,BALANCED_EDGE,62,255,3,99,57,201,4,4,1,0.5
157,0x9d,10011101,UNBALANCED|LEAF,UNBALANCED_OTHER,62,255,3,98,185,217,5,3,0.954434,0.625
63,0x3f,00111111,UNBALANCED|SECTION,UNBALANCED_OTHER,127,255,2,192,252,243,6,2,0.81127812,0.75
30,0x1e,00011110,BALANCED|SHADOW|LEAF,BALANCED_SHADOW,63,255,3,225,120,225,4,4,1,0.5
31,0x1f,00011111,UNBALANCED|LEAF,UNBALANCED_OTHER,63,255,3,224,248,241,5,3,0.954434,0.625
158,0x9e,10011110,UNBALANCED|LEAF,UNBALANCED_OTHER,63,255,3,97,121,233,5,3,0.954434,0.625
159,0x9f,10011111,UNBALANCED|LEAF,UNBALANCED_OTHER,63,255,3,96,249,249,6,2,0.81127812,0.75
190,0xbe,10111110,UNBALANCED|SECTION,UNBALANCED_OTHER,127,255,2,65,125,235,6,2,0.81127812,0.75
92,0x5c,01011100,BALANCED|LEAF,BALANCED_EDGE,190,255,3,163,58,197,4,4,1,0.5
93,0x5d,01011101,UNBALANCED|LEAF,UNBALANCED_OTHER,190,255,3,162,186,213,5,3,0.954434,0.625
220,0xdc,11011100,UNBALANCED|LEAF,UNBALANCED_OTHER,190,255,3,35,59,205,5,3,0.954434,0.625
221,0xdd,11011101,UNBALANCED|TWIN|LEAF,UNBALANCED_TWIN,190,255,3,34,187,221,6,2,0.81127812,0.75
191,0xbf,10111111,UNBALANCED|SECTION,UNBALANCED_EDGE,127,255,2,64,253,251,7,1,0.54356444,0.875
94,0x5e,01011110,UNBALANCED|LEAF,UNBALANCED_OTHER,191,255,3,161,122,229,5,3,0.954434,0.625
95,0x5f,01011111,UNBALANCED|LEAF,UNBALANCED_OTHER,191,255,3,160,250,245,6,2,0.81127812,0.75
222,0xde,11011110,UNBALANCED|LEAF,UNBALANCED_OTHER,191,255,3,33,123,237,6,2,0.81127812,0.75
223,0xdf,11011111,UNBALANCED|LEAF,UNBALANCED_EDGE,191,255,3,32,251,253,7,1,0.54356444,0.875
254,0xfe,11111110,UNBALANCED|DOMAIN,UNBALANCED_EDGE,255,255,1,1,127,239,7,1,0.54356444,0.875
124,0x7c,01111100,UNBALANCED|SECTION,UNBALANCED_OTHER,254,255,2,131,62,199,5,3,0.954434,0.625
56,0x38,00111000,UNBALANCED|LEAF,UNBALANCED_OTHER,124,255,3,199,28,131,3,5,0.954434,0.375
57,0x39,00111001,BALANCED|LEAF,BALANCED_EDGE,124,255,3,198,156,147,4,4,1,0.5
184,0xb8,10111000,BALANCED|LEAF,BALANCED_EDGE,124,255,3,71,29,139,4,4,1,0.5
185,0xb9,10111001,UNBALANCED|LEAF,UNBALANCED_OTHER,124,255,3,70,157,155,5,3,0.954434,0.625
125,0x7d,01111101,UNBALANCED|SECTION,UNBALANCED_OTHER,254,255,2,130,190,215,6,2,0.81127812,0.75
58,0x3a,00111010,BALANCED|LEAF,BALANCED_EDGE,125,255,3,197,92,163,4,4,1,0.5
59,0x3b,00111011,UNBALANCED|LEAF,UNBALANCED_OTHER,125,255,3,196,220,179,5,3,0.954434,0.625
186,0xba,10111010,UNBALANCED|LEAF,UNBALANCED_OTHER,125,255,3,69,93,171,5,3,0.954434,0.625
187,0xbb,10111011,UNBALANCED|TWIN|LEAF,UNBALANCED_TWIN,125,255,3,68,221,187,6,2,0.81127812,0.75
252,0xfc,11111100,UNBALANCED|SECTION,UNBALANCED_OTHER,254,255,2,3,63,207,6,2,0.81127812,0.75
120,0x78,01111000,BALANCED|SHADOW|LEAF,BALANCED_SHADOW,252,255,3,135,30,135,4,4,1,0.5
121,0x79,01111001,UNBALANCED|LEAF,UNBALANCED_OTHER,252,255,3,134,158,151,5,3,0.954434,0.625
248,0xf8,11111000,UNBALANCED|LEAF,UNBALANCED_OTHER,252,255,3,7,31,143,5,3,0.954434,0.625
249,0xf9,11111001,UNBALANCED|LEAF,UNBALANCED_OTHER,252,255,3,6,159,159,6,2,0.81127812,0.75
253,0xfd,11111101,UNBALANCED|SECTION,UNBALANCED_EDGE,254,255,2,2,191,223,7,1,0.54356444,0.875
122,0x7a,01111010,UNBALANCED|LEAF,UNBALANCED_OTHER,253,255,3,133,94,167,5,3,0.954434,0.625
123,0x7b,01111011,UNBALANCED|LEAF,UNBALANCED_OTHER,253,255,3,132,222,183,6,2,0.81127812,0.75
250,0xfa,11111010,UNBALANCED|LEAF,UNBALANCED_OTHER,253,255,3,5,95,175,6,2,0.81127812,0.75
251,0xfb,11111011,UNBALANCED|LEAF,UNBALANCED_EDGE,253,255,3,4,223,191,7,1,0.54356444,0.875
